Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,94.55072283744812
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,83.75
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,75.06
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,85.77
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,81.2
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,67.28
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,76.75
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,74.49
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,71.28
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,72.22
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,74.71
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,71.35
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,71.34
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,72.19
Stand (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,83.01
Sit_chair (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,83.01
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,83.01
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,83.01
