Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,94.55072283744812
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,83.05
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,80.34
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,87.05
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,84.88
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,73.6
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,71.49
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,74.86
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,67.67
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,67.01
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,71.45
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,66.54
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,67.23
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,66.69
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,80.28
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,78.97
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,83.68
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,82.11
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,80.24
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,82.3
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,78.35
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,77.13
