Info,Info_Set,Accuracy
Stand (5/27),Exp_2025-05-27/E8331D05289A/,0.0
Stand (6/18),Exp_2025-06-18/E9AD0E7DCC2B/,0.0
Stand (6/20),Exp_2025-06-20-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/20),Exp_2025-06-20-v2/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20),Exp_2025-06-20-v3/E9AD0E7DCC2B/,0.0
Sit_floor (6/20),Exp_2025-06-20-v4/E9AD0E7DCC2B/,0.0
Stand (6/20-v2),Exp_2025-06-20-v5/E9AD0E7DCC2B/,0.0
Sit_chair (6/20-v2),Exp_2025-06-20-v6/E9AD0E7DCC2B/,0.0
Sit_chair_leg_crossed (6/20-v2),Exp_2025-06-20-v7/E9AD0E7DCC2B/,0.0
Sit_floor (6/20-v2),Exp_2025-06-20-v8/E9AD0E7DCC2B/,0.0
Stand (6/23),Exp_2025-06-23-v1/E9AD0E7DCC2B/,90.1292622089386
Sit_chair (6/23),Exp_2025-06-23-v2/E9AD0E7DCC2B/,86.84
Sit_chair_leg_crossed (6/23),Exp_2025-06-23-v3/E9AD0E7DCC2B/,89.67
Sit_floor (6/23),Exp_2025-06-23-v4/E9AD0E7DCC2B/,91.55
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,92.79
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,90.42
Sit_chair_leg_crossed (6/24),Exp_2025-06-24-v3/E9AD0E7DCC2B/,90.6
Sit_floor (6/24),Exp_2025-06-24-v4/E9AD0E7DCC2B/,92.68
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,84.04
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,88.06
Sit_chair_leg_crossed (6/26),Exp_2025-06-26-v3/E9AD0E7DCC2B/,91.59
Sit_floor (6/26),Exp_2025-06-26-v4/E9AD0E7DCC2B/,93.92
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,90.62
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,89.75
Sit_chair_leg_crossed (6/27),Exp_2025-06-27-v3/E9AD0E7DCC2B/,90.96
Sit_floor (6/27),Exp_2025-06-27-v4/E9AD0E7DCC2B/,88.97
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,89.16
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,92.77
Sit_chair_leg_crossed (6/30),Exp_2025-06-30-v3/E9AD0E7DCC2B/,93.51
Sit_floor (6/30),Exp_2025-06-30-v4/E9AD0E7DCC2B/,91.83
