Info,Info_Set,Accuracy
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,88.37209343910217
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,78.72
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,49.94
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,75.17
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,71.59
Stand (6/30),Exp_2025-06-30-v1/FEFFF6FFF5FF/,88.02
Sit_chair (6/30),Exp_2025-06-30-v2/FEFFF6FFF5FF/,55.85
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,64.6
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,77.37
