Info,Info_Set,Accuracy
Stand (6/30),Exp_2025-06-30-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/30),Exp_2025-06-30-v2/E9AD0E7DCC2B/,0.0
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,0.0
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,85.1311981678009
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,84.46
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,85.58
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,85.69
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,81.75
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,84.59
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,85.52
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,89.5
Stand (7/23),Exp_2025-07-23-v1/E9AD0E7DCC2B/,82.67
Sit_chair (7/23),Exp_2025-07-23-v2/E9AD0E7DCC2B/,82.84
Stand (7/25),Exp_2025-07-25-v1/E9AD0E7DCC2B/,91.11
Sit_chair (7/25),Exp_2025-07-25-v2/E9AD0E7DCC2B/,88.94
Stand (8/01),Exp_2025-08-01-v1/E9AD0E7DCC2B/,81.23
Sit_chair (8/01),Exp_2025-08-01-v2/E9AD0E7DCC2B/,83.85
