Info,Info_Set,Accuracy
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,0.0
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,0.0
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,94.18604373931885
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,88.88
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,87.99
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,88.1
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,90.22
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,88.11
Stand (7/23),Exp_2025-07-23-v1/E9AD0E7DCC2B/,89.13
Sit_chair (7/23),Exp_2025-07-23-v2/E9AD0E7DCC2B/,89.25
Stand (7/24),Exp_2025-07-24-v1/E9AD0E7DCC2B/,90.66
Sit_chair (7/24),Exp_2025-07-24-v2/E9AD0E7DCC2B/,90.51
Stand (7/25),Exp_2025-07-25-v1/E9AD0E7DCC2B/,90.64
Sit_chair (7/25),Exp_2025-07-25-v2/E9AD0E7DCC2B/,92.83
Stand (8/1),Exp_2025-08-01-v1/E9AD0E7DCC2B/,91.08
Sit_chair (8/1),Exp_2025-08-01-v2/E9AD0E7DCC2B/,90.03
