Info,Info_Set,Accuracy
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,0.0
Stand (7/10),Exp_2025-07-10-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/10),Exp_2025-07-10-v2/E9AD0E7DCC2B/,0.0
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,97.38371968269348
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,88.33
Stand (7/16),Exp_2025-07-16-v1/E9AD0E7DCC2B/,87.31
Sit_chair (7/16),Exp_2025-07-16-v2/E9AD0E7DCC2B/,86.86
Stand (7/17),Exp_2025-07-17-v1/E9AD0E7DCC2B/,89.14
Sit_chair (7/17),Exp_2025-07-17-v2/E9AD0E7DCC2B/,86.35
