Info,Info_Set,Accuracy
Stand (6/24),Exp_2025-06-24-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/24),Exp_2025-06-24-v2/E9AD0E7DCC2B/,0.0
Stand (6/26),Exp_2025-06-26-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/26),Exp_2025-06-26-v2/E9AD0E7DCC2B/,0.0
Stand (6/27),Exp_2025-06-27-v1/E9AD0E7DCC2B/,0.0
Sit_chair (6/27),Exp_2025-06-27-v2/E9AD0E7DCC2B/,0.0
Stand (6/30),Exp_2025-06-30-v1/FEFFF6FFF5FF/,0.0
Sit_chair (6/30),Exp_2025-06-30-v2/FEFFF6FFF5FF/,0.0
Stand (7/1),Exp_2025-07-01-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/1),Exp_2025-07-01-v2/E9AD0E7DCC2B/,0.0
Stand (7/2),Exp_2025-07-02-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/2),Exp_2025-07-02-v2/E9AD0E7DCC2B/,0.0
Stand (7/9),Exp_2025-07-09-v1/E9AD0E7DCC2B/,0.0
Sit_chair (7/9),Exp_2025-07-09-v2/E9AD0E7DCC2B/,71.67420983314514
Stand (7/11),Exp_2025-07-11-v1/E9AD0E7DCC2B/,83.0
Sit_chair (7/11),Exp_2025-07-11-v2/E9AD0E7DCC2B/,81.44
Stand (7/23),Exp_2025-07-23-v1/E9AD0E7DCC2B/,81.67
Sit_chair (7/23),Exp_2025-07-23-v2/E9AD0E7DCC2B/,81.44
