Mean,Std,Accuracy
8.0,3.0,86.25957369804382
8.0,3.8,86.53410474459331
8.0,4.4,85.90046167373657
8.0,5.2,86.05850338935852
8.0,6.0,85.98914345105489
10.0,3.0,87.28485107421875
10.0,3.8,85.86170276006062
10.0,4.4,87.11452682813008
10.0,5.2,87.04535762468974
10.0,6.0,86.94081505139668
11.0,3.0,86.60339713096619
11.0,3.8,87.29265928268433
11.0,4.4,87.04486687978108
11.0,5.2,85.52966713905334
11.0,6.0,85.83024342854817
12.5,3.0,87.0335837205251
12.5,3.8,86.53054436047871
12.5,4.4,86.05608145395915
12.5,5.2,86.92519863446553
12.5,6.0,86.59607966740926
14.0,3.0,86.12839380900066
14.0,3.8,86.16676926612854
14.0,4.4,86.66259845097859
14.0,5.2,85.97378929456075
14.0,6.0,86.95173263549805
