Mean,Std,Accuracy
160,200,90.02435803413391
160,260,90.9987211227417
160,304,91.03352427482605
160,360,91.54390692710876
160,420,90.2447521686554
200,200,90.34914970397949
200,260,89.5139753818512
200,304,91.90348982810974
200,360,89.56037759780884
200,420,90.05915522575378
229,200,90.55793881416321
229,260,90.32594561576843
229,304,88.67880702018738
229,360,90.5695378780365
229,420,90.97552299499512
260,200,91.26551151275635
260,260,90.62753915786743
260,304,89.96636271476746
260,360,90.90592861175537
260,420,90.17515182495117
290,200,89.33998346328735
290,260,90.45354127883911
290,304,91.7294979095459
290,360,89.64157104492188
290,420,89.25878405570984
