Mean,Std,Accuracy
160,200,89.38637971878052
160,260,90.25635123252869
160,304,91.05672240257263
160,360,87.66964673995972
160,420,88.5512113571167
200,200,86.57928109169006
200,260,75.47848224639893
200,304,90.30274748802185
200,360,75.47848224639893
200,420,75.47848224639893
229,200,75.47848224639893
229,260,88.51641416549683
229,304,75.47848224639893
229,360,87.33325600624084
229,420,75.47848224639893
260,200,90.44194221496582
260,260,90.05915522575378
260,304,90.48834443092346
260,360,75.47848224639893
260,420,86.11530065536499
290,200,75.47848224639893
290,260,75.47848224639893
290,304,91.26551151275635
290,360,75.47848224639893
290,420,75.47848224639893
