Mean,Std,Accuracy
1.0,0.4,91.3003146648407
1.0,0.6,93.91021728515625
1.0,0.8,91.1959171295166
1.0,1.0,91.14952087402344
1.0,1.2,92.86625385284424
1.5,0.4,92.04268455505371
1.5,0.6,91.06832146644592
1.5,0.8,92.355877161026
1.5,1.0,91.1959171295166
1.5,1.2,90.44194221496582
2.0,0.4,90.55793881416321
2.0,0.6,91.60190224647522
2.0,0.8,90.82472920417786
2.0,1.0,90.95232486724854
2.0,1.2,91.11471772193909
2.5,0.4,90.55793881416321
2.5,0.6,91.68310165405273
2.5,0.8,90.44194221496582
2.5,1.0,91.34671092033386
2.5,1.2,92.46026873588562
3.0,0.4,91.18431806564331
3.0,0.6,90.73193073272705
3.0,0.8,92.59946346282959
3.0,1.0,92.65746474266052
3.0,1.2,92.85465478897095
3.5,0.4,89.27038908004761
3.5,0.6,91.47430658340454
3.5,0.8,93.3186411857605
3.5,1.0,91.98468923568726
3.5,1.2,92.92425513267517
