Mean,Std,Accuracy
160,200,75.47848224639893
160,260,75.47848224639893
160,304,75.47848224639893
160,360,75.47848224639893
160,420,75.47848224639893
200,200,75.47848224639893
200,260,75.47848224639893
200,304,75.47848224639893
200,360,75.47848224639893
200,420,75.47848224639893
229,200,75.47848224639893
229,260,75.47848224639893
229,304,75.47848224639893
229,360,88.89920115470886
229,420,75.47848224639893
260,200,75.47848224639893
260,260,75.47848224639893
260,304,75.47848224639893
260,360,75.47848224639893
260,420,75.47848224639893
290,200,75.47848224639893
290,260,75.47848224639893
290,304,75.47848224639893
290,360,75.47848224639893
290,420,75.47848224639893
