Mean,Std,Accuracy
160,200,75.47848224639893
160,260,88.93399834632874
160,304,75.47848224639893
160,360,75.47848224639893
160,420,75.47848224639893
200,200,75.47848224639893
200,260,75.47848224639893
200,304,75.47848224639893
200,360,89.24718499183655
200,420,75.47848224639893
229,200,75.47848224639893
229,260,87.94803619384766
229,304,75.47848224639893
229,360,75.47848224639893
229,420,91.39310717582703
260,200,75.47848224639893
260,260,89.16599154472351
260,304,86.56768202781677
260,360,75.47848224639893
260,420,75.47848224639893
290,200,75.47848224639893
290,260,75.47848224639893
290,304,75.47848224639893
290,360,75.47848224639893
290,420,75.47848224639893
