Mean,Std,Accuracy
8.0,3.0,86.52589321136475
8.0,3.8,86.29026015599568
8.0,4.4,85.95399856567383
8.0,5.2,86.68236931165059
8.0,6.0,86.2056314945221
10.0,3.0,86.42566800117493
10.0,3.8,86.18196249008179
10.0,4.4,85.20761926968892
10.0,5.2,85.90371012687683
10.0,6.0,86.23965581258138
11.0,3.0,85.30484437942505
11.0,3.8,86.88207070032756
11.0,4.4,86.03621919949849
11.0,5.2,87.08766301472981
11.0,6.0,86.26792232195537
12.5,3.0,85.43256521224976
12.5,3.8,86.32147709528606
12.5,4.4,86.25993728637695
12.5,5.2,85.88416179021199
12.5,6.0,87.02261646588643
14.0,3.0,86.44096851348877
14.0,3.8,86.43417755762736
14.0,4.4,86.2754503885905
14.0,5.2,86.7967963218689
14.0,6.0,85.77628533045451
