Mean,Std,Accuracy
160,200,84.8327358563741
160,260,84.86414353052776
160,304,84.60928002993266
160,360,84.62753097216289
160,420,83.31793944040935
200,200,85.33560434977214
200,260,84.63673988978069
200,304,82.33229319254558
200,360,83.18623503049214
200,420,85.12241244316101
229,200,85.29649376869202
229,260,81.8530261516571
229,304,85.20912528038025
229,360,84.3768060207367
229,420,84.39226349194844
260,200,85.08809208869934
260,260,84.5473051071167
260,304,85.43984691301982
260,360,83.71591369311015
260,420,84.39201911290486
290,200,84.73986188570659
290,260,85.08809208869934
290,304,84.50761636098225
290,360,84.11804437637329
290,420,83.09402664502461
