Mean,Std,Accuracy
1.0,0.4,85.82234581311543
1.0,0.6,85.50155957539876
1.0,0.8,86.11239194869995
1.0,1.0,85.20828485488892
1.0,1.2,85.1273238658905
1.5,0.4,86.9940181573232
1.5,0.6,86.66561643282573
1.5,0.8,87.56324648857117
1.5,1.0,87.23845879236858
1.5,1.2,85.94624201456706
2.0,0.4,86.8051807085673
2.0,0.6,86.15493973096211
2.0,0.8,86.56107385953267
2.0,1.0,85.80339550971985
2.0,1.2,86.30603551864624
2.5,0.4,86.54949466387431
2.5,0.6,86.70381704966228
2.5,0.8,85.37418842315674
2.5,1.0,87.26539214452107
2.5,1.2,86.46849989891052
3.0,0.4,86.1823320388794
3.0,0.6,86.49567763010661
3.0,0.8,86.37925585110982
3.0,1.0,87.41262555122375
3.0,1.2,86.25144759813945
3.5,0.4,85.96245447794597
3.5,0.6,86.08612219492595
3.5,0.8,86.45658691724141
3.5,1.0,86.1437976360321
3.5,1.2,85.27390956878662
