Mean,Std,Accuracy
8.0,3.0,87.83327142397563
8.0,3.8,88.5469118754069
8.0,4.4,87.01996405919392
8.0,5.2,88.50401043891907
8.0,6.0,88.69042793909709
10.0,3.0,88.24618458747864
10.0,3.8,88.07064890861511
10.0,4.4,87.31242020924886
10.0,5.2,88.23346098264058
10.0,6.0,88.53922486305237
11.0,3.0,88.5757048924764
11.0,3.8,88.22085857391357
11.0,4.4,88.27483654022217
11.0,5.2,89.10799423853557
11.0,6.0,87.35178510348003
12.5,3.0,86.65964603424072
12.5,3.8,89.22844727834065
12.5,4.4,88.93288572629292
12.5,5.2,89.00352915128072
12.5,6.0,88.74440590540569
14.0,3.0,88.87895941734314
14.0,3.8,88.7523094813029
14.0,4.4,86.9319200515747
14.0,5.2,88.98114959398906
14.0,6.0,88.55846126874287
