Mean,Std,Accuracy
160,200,84.91832812627156
160,260,84.1451386610667
160,304,84.04442071914673
160,360,83.51505597432454
160,420,84.37284032503764
200,200,83.99415016174316
200,260,82.99371004104614
200,304,84.3848745028178
200,360,84.82138315836589
200,420,82.57991075515747
229,200,83.97897084554036
229,260,84.87916588783264
229,304,84.7864826520284
229,360,82.94709126154582
229,420,84.75988308588664
260,200,85.6290876865387
260,260,85.05741953849792
260,304,84.55542922019958
260,360,85.58704654375713
260,420,83.07800690333049
290,200,85.30089656511943
290,260,84.94879007339478
290,304,85.6756051381429
290,360,83.2712471485138
290,420,84.19140775998433
