Mean,Std,Accuracy
160,200,73.8675057888031
160,260,73.8675057888031
160,304,85.50883531570435
160,360,73.8675057888031
160,420,73.8675057888031
200,200,73.8675057888031
200,260,85.2047860622406
200,304,73.8675057888031
200,360,73.8675057888031
200,420,73.8675057888031
229,200,73.8675057888031
229,260,73.8675057888031
229,304,85.08073687553406
229,360,73.8675057888031
229,420,73.8675057888031
260,200,73.8675057888031
260,260,73.8675057888031
260,304,73.8675057888031
260,360,73.8675057888031
260,420,73.8675057888031
290,200,73.8675057888031
290,260,73.8675057888031
290,304,73.8675057888031
290,360,73.8675057888031
290,420,73.8675057888031
