Mean,Std,Accuracy
1.0,0.4,88.3618712425232
1.0,0.6,89.41963116327922
1.0,0.8,88.86687358220418
1.0,1.0,86.89548969268799
1.0,1.2,88.77144455909729
1.5,0.4,88.5381003220876
1.5,0.6,86.6076648235321
1.5,0.8,88.06715806325276
1.5,1.0,87.11820840835571
1.5,1.2,89.41343029340108
2.0,0.4,90.2313768863678
2.0,0.6,85.83181500434875
2.0,0.8,89.77347016334534
2.0,1.0,89.09774820009868
2.0,1.2,89.10422722498576
2.5,0.4,88.92573118209839
2.5,0.6,89.14095362027486
2.5,0.8,88.59201471010844
2.5,1.0,87.19193538029988
2.5,1.2,89.7113064924876
3.0,0.4,88.59596053759257
3.0,0.6,87.81790733337402
3.0,0.8,88.23734124501546
3.0,1.0,87.14556495348613
3.0,1.2,89.28926785786946
3.5,0.4,87.25342353185017
3.5,0.6,88.17131121953328
3.5,0.8,88.66608738899231
3.5,1.0,88.9986256758372
3.5,1.2,87.08287080128987
