Mean,Std,Accuracy
1.0,0.4,88.06504969085965
1.0,0.6,89.08854808126178
1.0,0.8,89.18114879301616
1.0,1.0,89.36391366379601
1.0,1.2,88.4926472391401
1.5,0.4,88.9588692358562
1.5,0.6,88.48689645528793
1.5,0.8,89.38145850385938
1.5,1.0,88.45222166606358
1.5,1.2,88.82461935281754
2.0,0.4,89.46508084024701
2.0,0.6,88.21759074926376
2.0,0.8,88.75802861792701
2.0,1.0,89.30058096136365
2.0,1.2,89.02405266250882
2.5,0.4,89.20946589538029
2.5,0.6,89.03403239590781
2.5,0.8,88.69463843958718
2.5,1.0,88.51477418627057
2.5,1.2,88.86807156460625
3.0,0.4,88.39767277240753
3.0,0.6,88.72217429535729
3.0,0.8,87.43117068495069
3.0,1.0,89.06442714588982
3.0,1.2,89.28977102041245
3.5,0.4,88.39768873793739
3.5,0.6,87.82808929681778
3.5,0.8,88.96859692675727
3.5,1.0,88.78765021051679
3.5,1.2,89.64628151484898
